RUA BARÃO DE PARANAPIACABA                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004000 
RUA QUINTINO BOCAIÚVA                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004010 
RUA QUINTINO BOCAIÚVA, 71                                               SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004900 
RUA QUINTINO BOCAIÚVA, 71                                               SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004900 
RUA QUINTINO BOCAIÚVA, 176                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004901 
RUA QUINTINO BOCAIÚVA, 176                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004901 
RUA QUINTINO BOCAIÚVA, 191                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004902 
RUA QUINTINO BOCAIÚVA, 191                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004902 
RUA QUINTINO BOCAIÚVA, 231                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004903 
RUA QUINTINO BOCAIÚVA, 231                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004903 
RUA BARÃO DE PARANAPIACABA, 93                                          SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004904 
RUA BARÃO DE PARANAPIACABA, 93                                          SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01004904 
RUA BENJAMIN CONSTANT                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005000 
LARGO SÃO FRANCISCO                                                     SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005010 
RUA SÃO FRANCISCO                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005020 
RUA DO OUVIDOR                                                          SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005030 
RUA BENJAMIN CONSTANT, 153                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005900 
RUA BENJAMIN CONSTANT, 153                                              SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01005900 
RUA SENADOR FEIJÓ                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006000 
RUA SENADOR FEIJÓ                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006001 
RUA SENADOR PAULO EGÍDIO                                                SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006010 
RUA CRISTÓVÃO COLOMBO                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006020 
VIADUTO BRIGADEIRO LUIZ ANTÔNIO                                         SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006030 
PRAÇA PAULO ALFEU DE MONTEIRO DUARTE                                    SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006040 
